Type,var,number,variable,question,,,,,,,,,
Explanatory,var1,Q1,Beer,"The legal limit for driving in all states is 0.08%. In a study, adult volunteers drank different numbers of cans of beer. Thirty minutes later, a police officer measured their blood alcohol levels.",,,,,,,,,
Response,var2,Q1,Blood alcohol level,"The legal limit for driving in all states is 0.08%. In a study, adult volunteers drank different numbers of cans of beer. Thirty minutes later, a police officer measured their blood alcohol levels.",,,,,,,,,
Explanatory,var3,Q2,Amount of debt and income,"The National Student Loan Survey provides data on the amount of debt for recent college graduates, their current income, and how stressed they feel about college debt. A sociologist looks at the data with the goal of using amount of debt and income to explain the stress caused by college debt.",,,,,,,,,
Response,var4,Q2,Stress level,"The National Student Loan Survey provides data on the amount of debt for recent college graduates, their current income, and how stressed they feel about college debt. A sociologist looks at the data with the goal of using amount of debt and income to explain the stress caused by college debt.",,,,,,,,,
Explanatory,var5,Q3,Time of study,"Jessica believes that if she studies for three extra hours per week, she can improve her math grade by 20 points. She sets aside extra time each week to see if she is correct when she takes her next math exam, which will be Friday.",,,,,,,,,
Response,var6,Q3,Math exam score,"Jessica believes that if she studies for three extra hours per week, she can improve her math grade by 20 points. She sets aside extra time each week to see if she is correct when she takes her next math exam, which will be Friday.",,,,,,,,,
Explanatory,var7,Q4,Gender,Are middle school boys taller than middle school girls? ,,,,,,,,,
Response,var8,Q4,Height,Are middle school boys taller than middle school girls? ,,,,,,,,,
Explanatory,var9,Q5,Origin of coffee,"A researcher believes that the origin of the beans used to make a cup of coffee affects hyperactivity. He wants to compare coffee from three different regions: Africa, South America, and Mexico.",,,,,,,,,
Response,var10,Q5,Hyperactive level,"A researcher believes that the origin of the beans used to make a cup of coffee affects hyperactivity. He wants to compare coffee from three different regions: Africa, South America, and Mexico.",,,,,,,,,
Explanatory,var11,Q6,Lesson received,A public speaking teacher has developed a new lesson that she believes decreases student anxiety in public speaking situations more than the old lesson. She designs an experiment to test if her new lesson works better than the old lesson. Public speaking students are randomly assigned to receive either the new or old lesson; their anxiety levels during a variety of public speaking experiences are measured.,,,,,,,,,
Response,var12,Q6,Anxiety level,A public speaking teacher has developed a new lesson that she believes decreases student anxiety in public speaking situations more than the old lesson. She designs an experiment to test if her new lesson works better than the old lesson. Public speaking students are randomly assigned to receive either the new or old lesson; their anxiety levels during a variety of public speaking experiences are measured.,,,,,,,,,
Explanatory,var13,Q7,Amount of milk,Researchers are insterested in the relationship between the amount of milk consumed by children and their brain development. ,,,,,,,,,
Response,var14,Q7,Brain development,Researchers are insterested in the relationship between the amount of milk consumed by children and their brain development. ,,,,,,,,,
Response,var15,Q8,Grade,Teachers are curious if number of practice questions been done has an effect on the grade a student earns on an exam. ,,,,,,,,,
Explanatory,var16,Q8,Number of practice questions,Teachers are curious if number of practice questions been done has an effect on the grade a student earns on an exam. ,,,,,,,,,
Response,var17,Q9,Life expectancy,Scientists are collecting information on the species of mammals and their average with life expectancy. They are looking for the relationship between different mammals and how long can they live. ,,,,,,,,,
Explanatory,var18,Q9,Species of mammals,Scientists are collecting information on the species of mammals and their average with life expectancy. They are looking for the relationship between different mammals and how long can they live. ,,,,,,,,,
Response,var19,Q10,Final score,Stat 200 professors are looking into using daily quizes score to predict a student's final score. ,,,,,,,,,
Explanatory,var20,Q10,Daily quize score,Stat 200 professors are looking into using daily quizes score to predict a student's final score. ,,,,,,,,,
Response,var21,Q11,Weight,Ana Renin has recorded the age and the weight of her baby for the first 6 months of her life. She has found a positive association between the variables.,,,,,,,,,
Explanatory,var22,Q11,Age,Ana Renin has recorded the age and the weight of her baby for the first 6 months of her life. She has found a positive association between the variables.,,,,,,,,,
Response,var23,Q12,Number of unbrella,Records of sales of umbrellas and amount of rainfall suggests that there is a strong positive relationship between the two variables.,,,,,,,,,
Explanatory,var24,Q12,Number of rainfall,Records of sales of umbrellas and amount of rainfall suggests that there is a strong positive relationship between the two variables.,,,,,,,,,
Response,var25,Q13,Number of can Pepsi,A company wants to know the relationship between temperature and amount of soda sold. They keep tracking the data of temperature from June to August as well as the number of can Pepsi and can Coke. ,,,,,,,,,
Response,var26,Q13,Number of can Coke,A company wants to know the relationship between temperature and amount of soda sold. They keep tracking the data of temperature from June to August as well as the number of can Pepsi and can Coke. ,,,,,,,,,
Response,var27,Q14,Blood glucose level,A research group in interested in the change of blood glucose level throughout the day. Each participant is required to stay in the lab for 24 hours and test their blood glucose level in an hour interval. Food is allowed.,,,,,,,,,
None,var28,Q14,Food,A research group in interested in the change of blood glucose level throughout the day. Each participant is required to stay in the lab for 24 hours and test their blood glucose level in an hour interval. Food is allowed.,,,,,,,,,
Response,var29,Q15,Math quiz score,"Lily's high school is conducting an experiment on how to exercise influence students' performance on different subjects. Before and after exercising for half an hour, students are instructed to take a math quiz and reading quiz. Scores are recorded. ",,,,,,,,,
Response,var30,Q15,Reading quiz score,"Lily's high school is conducting an experiment on how to exercise influence students' performance on different subjects. Before and after exercising for half an hour, students are instructed to take a math quiz and reading quiz. Scores are recorded. ",,,,,,,,,
Explanatory,var31,Q16,Altitude,"Botanists want to know how the heights of wheat vary from different altitudes regardless of other factors. 100,000 of paired data is collected on the heights of wheat and altitudes of its  growing place. ",,,,,,,,,
Neither,var32,Q16,Humidity,"Botanists want to know how the heights of wheat vary from different altitudes regardless of other factors. 100,000 of paired data is collected on the heights of wheat and altitudes of its  growing place. ",,,,,,,,,
Explanatory,var33,Q17,Age,"Economists believe there are certain factors determine the salary level. They randomly choose 500 individuals from New York and ask their ages, gender, years of work, and salary. Finally, they find out all of these factors can impact one's salary level. ",,,,,,,,,
Explanatory,var34,Q17,Years of working,"Economists believe there are certain factors determine the salary level. They randomly choose 500 individuals from New York and ask their ages, gender, years of work, and salary. Finally, they find out all of these factors can impact one's salary level. ",,,,,,,,,
Explanatory,var35,Q18,Vegetational cover,"Zoologist wants to know what factors lead to the different hunting behavior of lions around the world. They collect data on daytime temperature, available preys, and vegetational cover. The results show only the available preys and vegetational cover relate to the different hunting behaviors. ",,,,,,,,,
Neither,var36,Q18,Daytime temperature,"Zoologist wants to know what factors lead to the different hunting behavior of lions around the world. They collect data on daytime temperature, available preys, and vegetational cover. The results show only the available preys and vegetational cover relate to the different hunting behaviors. ",,,,,,,,,
