Type,varId,variable,paragraph
Explanatory,var1,Treatment," 300 men with some being physically fit and some being obese, are taken for an experiment of a new weight loss drug. The drug is administered to half patients and after a month the men experienced more weight loss using the drug."
Response,var2,Weight loss," 300 men with some being physically fit and some being obese, are taken for an experiment of a new weight loss drug. The drug is administered to half patients and after a month the men experienced more weight loss using the drug."
Confounding,var3,Fitness Level," 300 men with some being physically fit and some being obese, are taken for an experiment of a new weight loss drug. The drug is administered to half patients and after a month the men experienced more weight loss using the drug."
Explanatory,var4,Vegetarian Diet,"In a new experiment at a laboratory, 100 males will be going through testing for the effects of a vegetarian diet on muscle growth. The men are allowed to eat anything they want as long as it is not meat. After two months, all of the men are studied to see if they became more muscular."
Response,var5,Muscle Growth,"In a new experiment at a laboratory, 100 males will be going through testing for the effects of a vegetarian diet on muscle growth. The men are allowed to eat anything they want as long as it is not meat. After two months, all of the men are studied to see if they became more muscular."
Confounding,var6,Not eating exactly same food,"In a new experiment at a laboratory, 100 males will be going through testing for the effects of a vegetarian diet on muscle growth. The men are allowed to eat anything they want as long as it is not meat. After two months, all of the men are studied to see if they became more muscular."
Explanatory,var7,Fertility Treatment,"A team of veterinarians are comparing the effectiveness of fertility treatments on tigers. The two treatments are in-vitro fertilization and male fertility medications. The medications are distributed with 5 tigers getting in-vitro fertilizations and 15 tigers getting male fertility medications, because in-vitro is expensive."
Response,var8,Fertility Rate,"A team of veterinarians are comparing the effectiveness of fertility treatments on tigers. The two treatments are in-vitro fertilization and male fertility medications. The medications are distributed with 5 tigers getting in-vitro fertilizations and 15 tigers getting male fertility medications, because in-vitro is expensive."
Confounding,var9,Treatment Group Sizes,"A team of veterinarians are comparing the effectiveness of fertility treatments on tigers. The two treatments are in-vitro fertilization and male fertility medications. The medications are distributed with 5 tigers getting in-vitro fertilizations and 15 tigers getting male fertility medications, because in-vitro is expensive."
Explanatory,var10,Study Technique,"  A group 16 college kids are looking into how two different study habits influence their grade on their next Calculus exam. Eight of the kids will study for 12 hours the day before the exam, while eight of the kids will study for 2 hours a day for 5 days before the exam. They plan to compare the average grade between the two groups after the exam."
Response,var11,Grade on exam,"  A group 16 college kids are looking into how two different study habits influence their grade on their next Calculus exam. Eight of the kids will study for 12 hours the day before the exam, while eight of the kids will study for 2 hours a day for 5 days before the exam. They plan to compare the average grade between the two groups after the exam."
Confounding,var12,Total time spent studying,"  A group 16 college kids are looking into how two different study habits influence their grade on their next Calculus exam. Eight of the kids will study for 12 hours the day before the exam, while eight of the kids will study for 2 hours a day for 5 days before the exam. They plan to compare the average grade between the two groups after the exam."
