School Name,N Tested,Reading Average,Math Average,Writing Average,Composite Average,12,Total
Shanksville-Stonycreek HS,18,483,513,448,1443,28,109
West Forest JSHS,11,426,414,406,1246,17,113
Wilkinsburg SHS,12,331,339,309,979,24,114
Salisbury-Elk Lick JSHS,13,513,515,465,1493,25,128
Oswayo Valley HS,17,467,456,435,1358,40,152
Academy CS,11,321,325,327,974,36,152
Fannett-Metal SHS,20,513,497,463,1473,54,161
Forbes Road JSHS,12,478,471,454,1403,32,161
Pittsburgh Online Academy,14,473,424,439,1336,25,167
La Academia Partnership Charter School,13,342,378,325,1045,27,187
"Dr Robert Ketterer CS, Inc.",16,376,399,353,1128,45,190
Union Area HS,28,445,454,414,1313,40,198
Rochester High School,14,479,498,446,1422,35,202
West Greene HS,20,495,487,454,1436,50,204
Williamsburg Community JSHS,17,474,467,447,1388,31,205
Medical Academy CS,26,383,378,357,1118,54,210
Morrisville HS,16,494,458,438,1389,50,217
Parkway Northwest,42,389,393,372,1153,45,220
Monessen SHS,27,441,451,395,1287,52,232
Shade JSHS,15,485,491,453,1429,44,233
Greenwood HS,38,483,464,454,1402,68,236
Northern Potter JSHS,13,530,507,484,1521,46,239
Jamestown Area JSHS,19,515,536,471,1522,37,249
Jeannette SHS,25,451,458,420,1329,49,251
Union HS,34,468,475,435,1379,55,253
Berlin Brothersvalley SHS,45,460,490,436,1385,68,258
Johnsonburg Area HS,25,489,499,453,1441,40,258
Commodore Perry JSHS,30,484,479,456,1419,49,260
Avella Area JSHS,26,497,445,451,1393,43,260
California Area SHS,27,446,467,445,1358,50,270
McConnellsburg HS,24,477,507,454,1437,56,271
Mahanoy Area HS,41,430,441,412,1283,55,271
North Clarion Co JSHS,26,522,546,511,1579,48,274
Blacklick Valley JSHS,23,464,479,429,1372,50,276
Meyersdale Area HS,33,515,504,473,1492,75,282
Cornell HS,27,440,436,413,1289,50,287
Sullivan Co JSHS,15,542,540,488,1570,39,287
Cameron County JSHS,25,481,466,470,1418,41,288
Parkway West,62,394,387,364,1145,81,291
Halifax Area HS,52,507,503,492,1501,85,292
Blue Ridge HS,36,498,491,471,1460,64,292
Ridgway Area HS,59,479,483,449,1411,85,293
Youngsville HS,27,466,485,450,1401,67,295
Tussey Mountain HS,23,470,492,437,1399,65,297
Mapletown JSHS,17,415,396,397,1208,43,298
Benton Area MSHS,35,495,496,459,1450,59,299
Roberto Clemente CS,26,427,426,394,1247,31,301
Jenkintown Middle/High School,41,559,563,565,1687,49,303
North Penn-Liberty JSHS,14,416,438,390,1244,40,305
The SD of Philadelphia Virtual Academy,17,392,364,344,1099,47,307
Blairsville SHS,35,482,497,448,1427,73,309
Ferndale Area JSHS,27,463,455,420,1338,52,309
Farrell Area HS/UMS,34,401,396,375,1173,47,309
