School Name,N Tested,Reading Average,Math Average,Writing Average,Composite Average,12,Total,Size
Shanksville-Stonycreek HS,18,483,513,448,1443,28,109,Very Small
West Forest JSHS,11,426,414,406,1246,17,113,Very Small
Wilkinsburg SHS,12,331,339,309,979,24,114,Very Small
Salisbury-Elk Lick JSHS,13,513,515,465,1493,25,128,Very Small
Oswayo Valley HS,17,467,456,435,1358,40,152,Very Small
Academy CS,11,321,325,327,974,36,152,Very Small
Fannett-Metal SHS,20,513,497,463,1473,54,161,Very Small
Forbes Road JSHS,12,478,471,454,1403,32,161,Very Small
Pittsburgh Online Academy,14,473,424,439,1336,25,167,Very Small
La Academia Partnership Charter School,13,342,378,325,1045,27,187,Very Small
"Dr Robert Ketterer CS, Inc.",16,376,399,353,1128,45,190,Very Small
Union Area HS,28,445,454,414,1313,40,198,Very Small
Rochester High School,14,479,498,446,1422,35,202,Very Small
West Greene HS,20,495,487,454,1436,50,204,Very Small
Williamsburg Community JSHS,17,474,467,447,1388,31,205,Very Small
Medical Academy CS,26,383,378,357,1118,54,210,Very Small
Morrisville HS,16,494,458,438,1389,50,217,Very Small
Parkway Northwest,42,389,393,372,1153,45,220,Very Small
Monessen SHS,27,441,451,395,1287,52,232,Very Small
Shade JSHS,15,485,491,453,1429,44,233,Very Small
Greenwood HS,38,483,464,454,1402,68,236,Very Small
Northern Potter JSHS,13,530,507,484,1521,46,239,Very Small
Jamestown Area JSHS,19,515,536,471,1522,37,249,Very Small
Jeannette SHS,25,451,458,420,1329,49,251,Very Small
Union HS,34,468,475,435,1379,55,253,Very Small
Berlin Brothersvalley SHS,45,460,490,436,1385,68,258,Very Small
Johnsonburg Area HS,25,489,499,453,1441,40,258,Very Small
Commodore Perry JSHS,30,484,479,456,1419,49,260,Very Small
Avella Area JSHS,26,497,445,451,1393,43,260,Very Small
California Area SHS,27,446,467,445,1358,50,270,Very Small
McConnellsburg HS,24,477,507,454,1437,56,271,Very Small
Mahanoy Area HS,41,430,441,412,1283,55,271,Very Small
North Clarion Co JSHS,26,522,546,511,1579,48,274,Very Small
Blacklick Valley JSHS,23,464,479,429,1372,50,276,Very Small
Meyersdale Area HS,33,515,504,473,1492,75,282,Very Small
Cornell HS,27,440,436,413,1289,50,287,Very Small
Sullivan Co JSHS,15,542,540,488,1570,39,287,Very Small
Cameron County JSHS,25,481,466,470,1418,41,288,Very Small
Parkway West,62,394,387,364,1145,81,291,Very Small
Halifax Area HS,52,507,503,492,1501,85,292,Very Small
Blue Ridge HS,36,498,491,471,1460,64,292,Very Small
Ridgway Area HS,59,479,483,449,1411,85,293,Very Small
Youngsville HS,27,466,485,450,1401,67,295,Very Small
Tussey Mountain HS,23,470,492,437,1399,65,297,Very Small
Mapletown JSHS,17,415,396,397,1208,43,298,Very Small
Benton Area MSHS,35,495,496,459,1450,59,299,Very Small
Roberto Clemente CS,26,427,426,394,1247,31,301,Very Small
Jenkintown Middle/High School,41,559,563,565,1687,49,303,Very Small
North Penn-Liberty JSHS,14,416,438,390,1244,40,305,Very Small
The SD of Philadelphia Virtual Academy,17,392,364,344,1099,47,307,Very Small
Blairsville SHS,35,482,497,448,1427,73,309,Very Small
Ferndale Area JSHS,27,463,455,420,1338,52,309,Very Small
Farrell Area HS/UMS,34,401,396,375,1173,47,309,Very Small
Newport HS,24,524,535,493,1552,60,311,Very Small
Lankenau HS,75,377,381,354,1113,80,312,Very Small
Millville Area JSHS,27,510,476,487,1473,48,312,Very Small
Carmichaels Area HS,51,495,478,465,1438,88,314,Very Small
Susquehanna Community JSHS,31,494,517,468,1479,35,322,Very Small
Allegheny-Clarion Valley HS,30,482,502,447,1431,56,324,Very Small
Saltsburg MS/HS,33,499,548,472,1519,68,327,Very Small
Otto-Eldred JSHS,25,494,495,465,1454,54,327,Very Small
Windber Area HS,39,485,529,469,1484,76,329,Very Small
Bristol HS,43,436,436,420,1293,81,331,Very Small
Motivation HS,51,396,395,381,1172,68,339,Very Small
Northern Cambria HS,56,479,481,459,1419,88,342,Very Small
North Star HS,51,479,487,464,1430,98,343,Very Small
George Jr Republic HS,13,416,420,388,1225,100,344,Very Small
Union City HS,39,487,486,452,1425,89,347,Very Small
Kensington Urban Education Academy,15,349,350,339,1038,76,349,Very Small
Juniata Valley JSHS,43,493,486,478,1457,66,349,Very Small
Forest City Regional HS,31,515,545,479,1538,56,349,Very Small
Frazier HS,43,485,479,440,1404,82,351,Very Small
Galeton Area Sch,13,476,522,441,1439,21,352,Very Small
Clairton MS/HS,19,388,417,346,1151,36,354,Very Small
Jefferson-Morgan MS/HS,41,472,470,446,1388,68,356,Very Small
Bentworth SHS,57,495,513,466,1475,97,357,Very Small
Rockwood Area JSHS,29,492,513,454,1459,56,357,Very Small
Columbia HS,29,460,448,427,1335,65,361,Very Small
Fairfield Area HS,48,488,502,463,1452,98,366,Very Small
Montgomery JSHS,35,502,494,454,1450,57,366,Very Small
Brentwood SHS,45,499,472,472,1443,84,368,Very Small
Tri-Valley JSHS,47,493,486,469,1449,69,368,Very Small
Southern Fulton JSHS,32,496,543,462,1500,60,369,Very Small
Lakeview HS,47,477,477,447,1401,87,372,Very Small
Kane Area HS,45,470,483,457,1410,84,376,Very Small
Bellwood-Antis HS,57,521,531,500,1552,86,377,Very Small
Mercer Area SHS,44,514,520,479,1514,74,378,Very Small
Glendale JSHS,27,466,454,436,1356,54,378,Very Small
Line Mountain HS,44,491,493,459,1443,89,381,Very Small
Smethport Area JSHS,30,492,513,463,1468,67,382,Very Small
South Side HS,52,505,508,464,1477,92,383,Very Small
Apollo-Ridge HS,58,461,472,448,1381,90,385,Very Small
Cowanesque Valley JSHS,31,487,469,446,1403,51,385,Very Small
Strawberry Mansion HS,26,327,328,301,955,68,386,Very Small
Clarion Area JSHS,54,515,489,484,1488,72,388,Very Small
Coudersport Area JSHS,30,520,468,476,1464,54,390,Very Small
Wilmington Area HS,67,515,506,483,1504,93,392,Very Small
Leechburg Area HS,37,476,481,463,1420,67,392,Very Small
Camp Hill SHS,91,548,551,547,1646,100,393,Very Small
Conemaugh Valley JSHS,30,487,507,467,1461,61,395,Very Small
Homer-Center JSHS,34,468,485,446,1399,54,397,Very Small
Clarion-Limestone Area JSHS,42,474,484,456,1414,59,402,Very Small
Upper Dauphin Area HS,55,493,484,468,1444,106,406,Very Small
Western Beaver Co JSHS,26,498,528,463,1490,62,406,Very Small
Port Allegany JSHS,24,493,542,445,1481,60,406,Very Small
Canton JSHS,33,480,485,448,1413,65,407,Very Small
Southern Columbia HS,95,496,511,483,1489,122,409,Very Small
Portage Area JSHS,31,485,511,470,1465,66,409,Very Small
Claysburg-Kimmel HS,18,492,505,490,1487,59,411,Very Small
Williams Valley JSHS,36,521,491,493,1505,54,414,Very Small
Carbon Career & Technical Institute,24,448,426,408,1282,109,415,Very Small
Northeast Bradford JSHS,35,517,469,474,1460,49,416,Very Small
Mount Carmel Area HS,52,463,481,453,1396,95,420,Very Small
Moshannon Valley JSHS,34,465,466,430,1361,69,420,Very Small
Antietam MS/HS,34,474,444,450,1369,60,421,Very Small
Bloomsburg Area HS,82,501,501,468,1470,98,424,Very Small
Washington HS,54,489,513,449,1451,106,428,Very Small
Purchase Line JSHS,33,514,523,492,1529,66,429,Very Small
Sharpsville Area SHS,65,482,484,453,1419,107,433,Very Small
Old Forge JSHS,46,472,481,465,1418,69,433,Very Small
Rocky Grove JSHS,28,484,452,438,1374,62,433,Very Small
New Brighton Area HS,65,488,492,455,1435,111,435,Very Small
Muncy JSHS,43,482,482,468,1433,66,435,Very Small
Shenandoah Valley JSHS,38,441,448,408,1297,51,437,Very Small
Kensington Health Sciences,50,357,349,338,1044,97,440,Very Small
Freedom Area SHS,65,482,495,460,1437,112,442,Very Small
Springdale JSHS,50,492,501,463,1456,71,446,Very Small
Avonworth HS,77,535,547,513,1595,95,449,Very Small
Palmerton Area HS,63,495,493,476,1464,111,451,Very Small
Kutztown Area SHS,60,525,537,502,1563,107,452,Very Small
Aliquippa JSHS,39,390,409,362,1161,79,456,Very Small
Mount Union Area SHS,46,477,487,447,1411,106,458,Very Small
Brockway Area JSHS,52,476,499,446,1421,88,459,Very Small
Forest Hills HS,85,516,504,482,1503,150,460,Very Small
Northwestern SHS,60,514,509,475,1498,123,460,Very Small
Cochranton JSHS,33,487,490,444,1420,63,460,Very Small
Hanover SHS,56,475,481,456,1413,96,461,Very Small
Pine Grove Area HS,59,488,455,459,1403,108,464,Very Small
